ogc_fid,id,canton_id,income,houses,electricity_per_household,consumed_electricity,max_consumed_electricity,area_per_household,persons_per_household,total_funding,total_price,debt,debt_rate
52,1106,11,62118.73684,2587.736842,16482.98183,3511.961102,3696.801159,107.4383164,3,7843.405298,10101.16708,2257.76178,0.223514943
93,1902,19,73121.65385,5329,10754.59027,3579.888328,3768.303503,71.5891907,3,3884.594651,6730.693485,2846.098833,0.422853728
91,1831,18,45297.44444,1153.222222,34857.98251,3596.863842,3786.172465,217.3645082,3,10151.16906,20436.23995,10285.07089,0.503276088
92,1901,19,69028.16667,6156.333333,12417.10813,3492.775748,3676.606051,83.56665754,3,4333.749658,7856.794467,3523.044809,0.448407404
110,2103,21,53196.81818,829.0909091,36694.09129,3413.130835,3592.7693,250.3431062,2.909090909,11887.86648,23536.83143,11648.96495,0.494924943
98,1907,19,67245.45,2904.35,15473.93874,3592.44334,3781.519305,103.2148609,3,5070.557284,9704.085003,4633.527718,0.477482186
99,1908,19,68769.31579,1811.263158,18949.05351,3790.513852,3990.014581,125.0237434,3,5888.390376,11754.5189,5866.12852,0.499053051
3,103,1,74088.63636,6481.909091,11205.38454,3576.813659,3765.067009,75.42992901,3,4828.622338,7091.793143,2263.170805,0.319125327
34,505,5,71367.88889,4615.444444,14608.62924,3605.854278,3795.636082,106.7379401,3,7002.672753,10035.31889,3032.646138,0.302197286
114,2107,21,52331.66667,2151.333333,16030.18797,3628.517136,3819.491722,110.724757,3,6652.178388,10410.15261,3757.974224,0.360991271
132,2307,23,47189.45455,4126.909091,18174.64555,3584.176671,3772.817548,112.9110936,3,6704.415813,10615.70824,3911.292432,0.368443851
126,2301,23,49854.28571,3703.571429,24494.10114,3578.256315,3766.585595,159.6719388,3,8984.007015,15012.08307,6028.076058,0.401548275
56,1110,11,57394.83333,1185.833333,17952.00186,3707.263554,3902.382688,128.4445395,3.083333333,9025.005347,12076.13631,3051.130962,0.252657877
84,1824,18,60020.14286,2859.285714,14022.9528,3509.249733,3693.947088,89.32074455,3,5349.52792,8397.783903,3048.255983,0.36298338
130,2305,23,38964,1546.142857,27476.92476,3329.356186,3504.585458,165.4037313,2.857142857,9263.431899,15550.97642,6287.544517,0.404318311
131,2306,23,41229.41667,1016.25,29666.623,3488.692573,3672.307972,178.7551145,3,9914.311833,16806.25068,6891.938842,0.410081878
